comment_id,video_id,author_name,comment_text,language,sentiment_label,sentiment_score,like_count
Ugx5bIzPv2Zm3vZuAt94AaABAg,Sa4off4_dys,@balakrishnaghanta6532,24:23  వాడు ఎవడో సముద్రం నుంచి నీళ్లు తీసుకుని పడవ లోకి నీళ్లు పోస్తున్నాడు 😂😂😂😂😂😂 AI gadu mistake idhi 😂😂😅😅😅😅😅 24:23,Telugu,Neutral,0.7507,0
UgyOAov3B2Rsy6TMgMl4AaABAg,Sa4off4_dys,@sanjaysahu7828,Bathuku mida asha just let them survive for the life🔥🔥🔥,English + Telugu,Positive,0.7318,0
Ugz4e9vV6HMlpnpd3S54AaABAg,Sa4off4_dys,@pavantelugulogs9951,❤❤ will power and courage  is the moral,English,Positive,0.9278,0
UgznUYmrJwKIh_eb9OB4AaABAg,Sa4off4_dys,@jhmlpa9462,Thrill... Courage.. Adventure,English,Neutral,0.5289,0
UgyP8TJ_uZHLLCI39s14AaABAg,Sa4off4_dys,@ambicaiswarya553,Chala baguntundhi bro e sahasa yatra elati videos cheyandi,English + Telugu,Neutral,0.8332,0
UgzwH4WgUoTCaopmmaZ4AaABAg,Sa4off4_dys,@Nagaraju-zc2nl,అన్న మీ వీడియోస్ చాలా చాలా బాగుంటాయి 👌👌,Telugu,Neutral,0.7537,2
UgxxcVnYqL2x7ivKarB4AaABAg,Sa4off4_dys,@erraanil123,Manipur gurichi video chei bro,English + Telugu,Neutral,0.8481,0
UgyCFOIS4_gEdQCAwwh4AaABAg,Sa4off4_dys,@viswasaraivijayakumari,"28 మంది వచ్చారు, కానీ వారితో పాటు మిగతా జీవులు ఎన్ని వచ్చాయి చెప్పలేదు. అదే కొద్దిగా బాధ అనిపించింది",Telugu,Neutral,0.7673,0
UgwgISPSey5Dc4WnMVN4AaABAg,Sa4off4_dys,@nithingandi1326,"Bro.....@ 8:46 you said November in Antarctica is winter...🤷
Correct ye na??
Just asking??",English,Neutral,0.7961,0
UgxyIfbaXJF85zJ2bGp4AaABAg,Sa4off4_dys,@sateeshsuravajjala6902,చాలా బాగా ఎక్సప్లనేషన్ ఇచ్చావ్ 🥰🥰🙏,Telugu,Neutral,0.7007,0
UgzLB7RFZAZIH85w_Vh4AaABAg,Sa4off4_dys,@stoneroof4646,ai videos :),English,Positive,0.8021,0
UgzB-hQyhObKae89F3t4AaABAg,Sa4off4_dys,@suri_chiyan,"Antha Lyaag anduku ra 15 mins story ni 30mins chesavv, chudaleka aapesaa😂",English + Telugu,Neutral,0.8541,0
UgzEV_IWpwVddlfCNql4AaABAg,Sa4off4_dys,@nareshjyeshtam3830,"అప్పట్లో టెక్నాలజీ లేకపోయినా మనిషి మీద నమ్మకం ఉండేది కారణం చెప్పిన మాట మీద మనిషి నిలబడటం,ఎలిఫెంట్ ఐలాండ్లో మూడో లైపోర్టు ఉన్నప్పుడు ఒక బోట్ లో పోయిన తర్వాత ఇంత టైం వరకు రాకపోతే మీరు మిగతా వాళ్ళు ఇంకా ఐదు ఇంకోసారి ఐదు మంది వచ్చి ట్రై చేయండి మీ చనిపోతే బాగుండు.",Telugu,Neutral,0.7612,0
UgzYvmhGIvAsqltHJkF4AaABAg,Sa4off4_dys,@satyareddyl5733,మరి కుక్కలని కాపాడలేదా,Telugu,Neutral,0.7026,0
UgzcQsvpvUiFsCtnfrx4AaABAg,Sa4off4_dys,@pradeep9951,Brooooo You deserve More Growth & Reach 💥💥🔥🔥 We are Expecting More like this Kind of Staff 💯💯🤙🤙,English,Positive,0.9771,1
UgwcMCOlJQiEYDNPAip4AaABAg,Sa4off4_dys,@suryapogudaniel4674,Great adventure,English,Positive,0.9559,1
UgwdZwDifLCzVxJLTi14AaABAg,Sa4off4_dys,@bhargavnagaraju,Nice video brother great spirit and courage and the most important thing leadership with belif on each other crew.,English,Positive,0.9714,0
UgwBKBLzHPFZndyFX4R4AaABAg,Sa4off4_dys,@telugubeautifulchannel,Bro voice super Kadapa telling,English,Neutral,0.6088,1
Ugxumtu7f-r0NLIIqN94AaABAg,Sa4off4_dys,@KenguvaSomeshwarrao,Em explanation ra ayya🔥🔥,English + Telugu,Positive,0.7051,2
UgzDom3-BgF2uLGPUAd4AaABAg,Sa4off4_dys,@dharmasaitalluri8234,Good survival story,English,Positive,0.8447,2
Ugz6rmrdwMUE1g8os2N4AaABAg,Sa4off4_dys,@saikrishna7200,Vaalla saahasam nijamga prasamsaneeyam,English + Telugu,Neutral,0.7644,0
UgzbyXHwVItXmlvpRXB4AaABAg,Sa4off4_dys,@rkrebal575,pilli emai untadi,English + Telugu,Neutral,0.7873,2
Ugx3bH68JxwlaD5ymAZ4AaABAg,Sa4off4_dys,@gugulothnareshhsd,దేవుడ.....😮😮😮😮😮,Telugu,Neutral,0.511,0
UgxmJGOGtHNlzt0Yulp4AaABAg,Sa4off4_dys,@gugulothnareshhsd,😮😮😮😮😮,Emojis / Symbols,Neutral,0.5803,0
Ugyqrkx3jRwL-PpAhdl4AaABAg,Sa4off4_dys,@EswaraEswara-b5t,Dogs ni tinatam yentra babu😢 😢,English + Telugu,Negative,0.6909,7
Ugwma5BnTvsq9MOMaeF4AaABAg,Sa4off4_dys,@regisgaming7050,Transformers movie lo untadhi bro same story,English,Neutral,0.8285,0
Ugy0NstrQzlkav_M01l4AaABAg,Sa4off4_dys,@JayasankarBejjipurapu,❤❤❤,Emojis / Symbols,Positive,0.9414,0
UgyKc23JSheyYsVp9qN4AaABAg,Sa4off4_dys,@kethavathanil8595,Elanti videos weekly one Pettu anna,English + Telugu,Neutral,0.8532,2
UgzCMPg8pvynN5nXAvd4AaABAg,Sa4off4_dys,@jhansilakshmibhai7783,Ippati pillalaku teliyali,English + Telugu,Neutral,0.794,0
Ugwbdhcb46dsW5bFHHt4AaABAg,Sa4off4_dys,@jhansilakshmibhai7783,Sahasam yenta goppa vishayam,English + Telugu,Neutral,0.8074,0
UgxiSRC2J1WP7zvGrF54AaABAg,Sa4off4_dys,@jhansilakshmibhai7783,Super,English,Positive,0.6605,0
UgzIzYc2V0TIQQmaofl4AaABAg,Sa4off4_dys,@chandudted8292,Exallent explanation bro.........,English + Telugu,Neutral,0.6776,0
Ugy52_EcJsLRpu7SEmJ4AaABAg,Sa4off4_dys,@AllSoundHappiness,Documentary Film: The Endurance: Shackleton's Legendary Antarctic Expedition,English,Neutral,0.8154,1
Ugy2JbLFCKfwN8toA-l4AaABAg,Sa4off4_dys,@AA-ANATOLYUNIQUE,BROO ANTHA OKAY KANI...ASALU AH PILLINI ENDUKU TESKELYATU VALLU😏😏😏,English + Telugu,Neutral,0.5703,0
UgwTyikgF-gliPw-IXd4AaABAg,Sa4off4_dys,@madhubabu833,Super super super super super super super super super super super super super super super super super super super super Exlent story ana❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,English,Positive,0.9309,3
Ugy0fhgcqOL-2a53AQt4AaABAg,Sa4off4_dys,@Vikki123vikram,Dhini midha movie ledha,English + Telugu,Neutral,0.8454,0
Ugy4I0qiWh1VQqzegNd4AaABAg,Sa4off4_dys,@sujatha6808,Movie vallaki e story dorikite manchi movie teyyochu,English + Telugu,Neutral,0.872,5
Ugy903zWrS1pDInG8C94AaABAg,Sa4off4_dys,@ndurgarao2502,ప్రతి సీన్ ఒక క్లైమాక్స్ ల ఉంది,Telugu,Neutral,0.7471,2
UgwE3qwWzZZ6ON844n14AaABAg,Sa4off4_dys,@ndurgarao2502,Annaya sp balu gari gurinchi cheppu annaya,English + Telugu,Neutral,0.7426,0
UgxGS3FNcTpkVwEVAEN4AaABAg,Sa4off4_dys,@Josephswaroop333,నమ్మకం ఆత్మవిశ్వాసం గురి ఈ మూడు మానవుడు ఎలా అయినా జీవనం సాగించాలని నిరూపిస్తుంది.,Telugu,Neutral,0.7217,0
Ugx2CkDqo2NvV9QgB4J4AaABAg,Sa4off4_dys,@hemanthkumar7707,Em story boss,English,Neutral,0.6281,0
UgwBpD6O9fgDHJ-GZrx4AaABAg,Sa4off4_dys,@shanutarak,Omg wat a survival story 🙏🙏🙏🙌 self belief at it peaks.. your narrative shows close to reality to our eyes great bro .  Keep going ❤,English,Positive,0.965,0
UgxCh3nXQSFfbkJgxDJ4AaABAg,Sa4off4_dys,@Prabudas3,తెగించి వెళ్ళడమే,Telugu,Neutral,0.7227,1
UgxeOKfy9Th0jGMLTfd4AaABAg,Sa4off4_dys,@KrishnaDasari-c1e,Ee story ni cinima release chesthe nuvve bro hero,English + Telugu,Neutral,0.7987,13
Ugzk5vJesL1X_0M63Y54AaABAg,Sa4off4_dys,@sadimelaprahllad,I sawed this total video Whats  a Video Mi 30+ Minutes Agakunda Cheppav Anna Great ❤ nv,English,Positive,0.9137,1
UgxVoBI21-qeiRQIX_14AaABAg,Sa4off4_dys,@sathishdhulam96,I LOVE TELUGU KNOWLEDGE FOREVER BRO ❤️,English,Positive,0.9762,3
Ugyo_w5DDL8c7p_qajZ4AaABAg,Sa4off4_dys,@sulochana2616,Hii❤❤,English + Telugu,Positive,0.9663,0
UgxiBMq39dTaNFK0emh4AaABAg,Sa4off4_dys,@madinibhargava7362,Hi,English,Neutral,0.4641,1
UgyZpFwmjs_89gqtXht4AaABAg,Sa4off4_dys,@pradyumnaapuru4350,Please get a video about 2002 Gujrat train issue  please  anna  i am requesting you from last 5 months onwards consider my comment,English,Neutral,0.6894,1
UgzVi18LZ4egAe9lGnN4AaABAg,Sa4off4_dys,@chidellameghashyamchidella7798,1st comment,English,Neutral,0.7877,0
UgzjjEo83YumBfwPoMB4AaABAg,l81k2mGxDBQ,@modall784,1980s USSR,English,Neutral,0.8208,0
UgzaIZL_YMW1jv-a6Od4AaABAg,l81k2mGxDBQ,@pradeep9951,Super Hit 🔥🔥💥💥💯💯 Bommaaa  🤙🤙🤙🤙🤙🤙🤙🤙 EEeewwwwww,English + Telugu,Positive,0.9702,1
UgyNXcZcftU6m4a9nIV4AaABAg,l81k2mGxDBQ,@gugulothnareshhsd,చరిత్ర చాలా భయంకరంగా ఉంది కదా అన్న......😮😮😮😮😢😢😢😢😢,Telugu,Neutral,0.7007,2
Ugw4hyCRMnO6OZ-WO9p4AaABAg,l81k2mGxDBQ,@dharmasaitalluri8234,Dangerous thief,English,Negative,0.8615,0
Ugw9Xh5pxnYIPP6beE14AaABAg,l81k2mGxDBQ,@beastbadrinath9,1980 ahh,English,Neutral,0.6386,0
UgwP0xpSnT-jfhug64h4AaABAg,l81k2mGxDBQ,@thulasiram36,బాల్ థాకరే బయోగ్రఫీ చేయమని ఎన్నిసార్లు అడగాలి,Telugu,Neutral,0.72,0
UgzfAKo5BEi14gQMscN4AaABAg,l81k2mGxDBQ,@ndurgarao2502,నేను నీ వీడియోలు చూడటం మొదలుపెట్టిన నుంచి చాలా మంచి విషయాలు నేర్చుకుంటున్నాను ఈ లవ్ తెలుగు నాలెడ్జ్ ఫారెవర్ బ్రో❤❤❤,Telugu,Neutral,0.7501,0
UgyfcGXAkAjYakG5pqR4AaABAg,l81k2mGxDBQ,@kancharapuramesh1176,Jai subash Chandra Bose Jai jai subash Chandra Bose,English + Telugu,Neutral,0.6683,0
Ugx5iWiHzKLjoYYKzdN4AaABAg,l81k2mGxDBQ,@madinibhargava7362,Hi❤,English,Positive,0.9439,0
